date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,OT
2006/12/16 16:00,4.216,0.418,234.84,18.4,0,1,17
2006/12/16 18:00,2.79,0.18,237.52,11.8,0,0,18
2006/12/16 20:00,3.206,0.078,232.43,13.8,0,0,16
2006/12/16 22:00,3.464,0.17,236.03,14.6,0,1,17
2006/12/17 0:00,1.044,0.152,242.73,4.4,0,2,0
2006/12/17 2:00,1.334,0.148,242.14,7,0,5,0
2006/12/17 4:00,2.402,0.076,243.18,9.8,0,1,0
2006/12/17 6:00,2.076,0.206,244.36,9.2,0,0,0
2006/12/17 8:00,2.28,0.056,240.9,9.4,0,0,0
2006/12/17 10:00,2.292,0.054,238.03,9.6,0,0,0
2006/12/17 12:00,1.962,0.252,239.73,8.2,0,0,18
2006/12/17 14:00,1.744,0.104,240.38,7.2,0,0,18
2006/12/17 16:00,2.818,0.114,239.01,11.8,2,0,17
2006/12/17 18:00,3.328,0.168,235.86,14,0,0,17
2006/12/17 20:00,2.388,0.166,232.78,10.2,0,0,16
2006/12/17 22:00,2.69,0.31,239.17,11.2,0,1,18
2006/12/18 0:00,0.278,0.126,246.17,1.2,0,2,0
2006/12/18 2:00,0.21,0,244.2,0.8,0,0,0
2006/12/18 4:00,0.378,0.248,246.08,1.8,0,0,0
2006/12/18 6:00,0.214,0,246.56,0.8,0,0,0
2006/12/18 8:00,2.128,0.152,238.59,8.8,1,0,18
2006/12/18 10:00,1.352,0.09,238.66,5.6,0,0,17
2006/12/18 12:00,1.734,0.084,242.96,7,0,0,19
2006/12/18 14:00,0.408,0.082,243.35,1.6,0,0,0
2006/12/18 16:00,1.68,0.074,241.86,6.8,0,0,18
2006/12/18 18:00,2.786,0.178,237.25,11.8,0,2,17
2006/12/18 20:00,1.616,0.234,236.17,6.8,0,1,0
2006/12/18 22:00,1.556,0.16,237.72,6.6,0,0,0
2006/12/19 0:00,0.414,0.242,241.19,2,0,1,0
2006/12/19 2:00,0.326,0.114,242.53,1.4,0,2,0
2006/12/19 4:00,0.244,0,244.01,1,0,0,0
2006/12/19 6:00,0.244,0,243.34,1,0,0,0
2006/12/19 8:00,2.914,0,235.47,12.4,0,0,17
2006/12/19 10:00,0.222,0,241.5,1,0,0,0
2006/12/19 12:00,2.488,0.162,239.81,10.4,0,36,0
2006/12/19 14:00,0.314,0.136,245.7,1.4,0,0,0
2006/12/19 16:00,1.404,0.12,244.18,5.6,0,0,18
2006/12/19 18:00,2.36,0,238.05,9.8,0,0,17
2006/12/19 20:00,1.904,0.12,240.82,8,0,0,0
2006/12/19 22:00,1.346,0.088,238.52,5.8,0,1,0
2006/12/20 0:00,0.824,0.058,245.57,3.4,0,0,0
2006/12/20 2:00,0.286,0.054,241.64,1.4,0,0,0
2006/12/20 4:00,0.332,0.146,246.11,1.4,0,0,0
2006/12/20 6:00,0.342,0.148,243.72,1.6,0,0,0
2006/12/20 8:00,3.542,0.198,239.02,14.8,0,1,18
2006/12/20 10:00,1.294,0,242.9,5.2,0,0,18
2006/12/20 12:00,1.426,0,242.38,5.8,0,0,18
2006/12/20 14:00,1.374,0.096,242.53,5.6,0,1,18
2006/12/20 16:00,0.416,0.254,244.84,2,0,1,0
2006/12/20 18:00,1.064,0.172,241.13,4.4,0,0,0
2006/12/20 20:00,3.362,0.292,235.51,14.2,0,0,17
2006/12/20 22:00,3.7,0.3,235.4,15.6,0,0,17
2006/12/21 0:00,1.814,0.148,243.51,7.6,0,0,18
2006/12/21 2:00,1.276,0,241.51,5.2,0,0,17
2006/12/21 4:00,0.208,0,245.35,0.8,0,0,0
2006/12/21 6:00,0.286,0.096,243.24,1.2,0,2,0
2006/12/21 8:00,1.274,0.182,241.27,5.4,0,0,0
2006/12/21 10:00,1.36,0.048,239.13,5.6,1,0,17
2006/12/21 12:00,0.222,0,243.65,1,0,0,0
2006/12/21 14:00,1.33,0,243.11,5.4,0,1,18
2006/12/21 16:00,0.238,0,243.27,1,0,0,0
2006/12/21 18:00,2.864,0.134,233.14,12.2,0,0,17
2006/12/21 20:00,5.406,0.512,233.13,23.4,37,0,0
2006/12/21 22:00,0.294,0.07,239.08,1.4,0,0,0
2006/12/22 0:00,0.206,0,245.7,0.8,0,0,0
2006/12/22 2:00,0.202,0,243.03,0.8,0,0,0
2006/12/22 4:00,0.206,0,245.07,0.8,0,0,0
2006/12/22 6:00,0.372,0.24,248.01,1.8,0,2,0
2006/12/22 8:00,3.004,0,240.73,12.4,0,0,18
2006/12/22 10:00,1.256,0,240.05,5.2,0,0,17
2006/12/22 12:00,2.61,0.188,238.48,10.8,38,0,0
2006/12/22 14:00,0.69,0.354,239.8,3.2,0,0,0
2006/12/22 16:00,1.432,0.094,241.84,5.8,0,0,18
2006/12/22 18:00,1.09,0.082,239.08,4.6,0,0,0
2006/12/22 20:00,2.872,0.212,236,12.2,0,0,17
2006/12/22 22:00,3.272,0.066,236.04,14.4,0,0,0
2006/12/23 0:00,2.328,0,241.25,9.6,0,0,0
2006/12/23 2:00,2.28,0.056,240.67,9.4,0,0,0
2006/12/23 4:00,2.158,0.084,242.21,9.2,0,0,0
2006/12/23 6:00,2.388,0.07,242.3,9.8,0,1,0
2006/12/23 8:00,4.698,0.08,237.84,19.6,0,0,17
2006/12/23 10:00,3.766,0,240.14,15.6,0,0,17
2006/12/23 12:00,2.718,0,239.07,11.4,0,0,0
2006/12/23 14:00,1.986,0,239.31,8.6,0,0,18
2006/12/23 16:00,4.954,0.666,241.5,20.6,0,0,18
2006/12/23 18:00,4.77,0.052,236.15,20.2,0,0,17
2006/12/23 20:00,3.88,0.074,236.72,16.8,0,0,17
2006/12/23 22:00,3.878,0.328,237.21,16.4,0,0,0
2006/12/24 0:00,5.376,0.046,237.57,22.6,0,0,18
2006/12/24 2:00,4.638,0.054,234.81,20.2,37,0,17
2006/12/24 4:00,0.75,0.128,245.12,4.6,0,0,0
2006/12/24 6:00,2.52,0.214,244.59,10.2,0,0,0
2006/12/24 8:00,2.288,0,241.36,9.4,0,0,0
2006/12/24 10:00,2.388,0.104,236.54,10.8,0,2,17
2006/12/24 12:00,2.138,0.256,238.95,9,0,1,18
2006/12/24 14:00,2.004,0.272,239.36,8.4,0,5,18
2006/12/24 16:00,1.078,0.368,246.21,4.6,1,5,0
2006/12/24 18:00,0.64,0.082,239.25,2.6,0,0,0
2006/12/24 20:00,0.478,0.088,239.89,2,0,0,0
2006/12/24 22:00,0.596,0.234,242.52,2.6,0,0,0
2006/12/25 0:00,0.586,0.26,243.65,2.6,0,1,0
2006/12/25 2:00,0.274,0.08,245.21,1.2,0,0,0
2006/12/25 4:00,0.54,0,247.49,2.2,0,0,0
2006/12/25 6:00,0.216,0,246.28,0.8,0,0,0
2006/12/25 8:00,2.858,0.084,240.99,11.8,0,1,18
2006/12/25 10:00,1.622,0.258,242.81,6.6,0,0,0
2006/12/25 12:00,4.984,0.202,237.06,21,38,0,17
2006/12/25 14:00,2.944,0.104,241.36,12.6,37,0,0
2006/12/25 16:00,1.656,0.496,245.02,7,0,1,0
2006/12/25 18:00,3.046,0.088,239.94,12.6,0,0,18
2006/12/25 20:00,1.356,0.16,242.05,5.6,0,0,0
2006/12/25 22:00,3.6,0.196,236.46,15.6,2,17,17
2006/12/26 0:00,2.49,0.102,245.44,10,0,1,0
2006/12/26 2:00,2.426,0.15,241.4,10,0,1,0
2006/12/26 4:00,2.404,0,246.08,9.6,0,0,0
2006/12/26 6:00,2.468,0.14,245.13,10,0,0,0
2006/12/26 8:00,4.05,0,235.09,17.2,0,0,17
2006/12/26 10:00,4.502,0.058,234.77,19.2,0,0,17
2006/12/26 12:00,2.334,0.068,237.13,9.8,0,0,17
2006/12/26 14:00,2.576,0.128,241.41,10.8,0,0,18
2006/12/26 16:00,2.98,0.076,246.22,12,0,4,19
2006/12/26 18:00,3.49,0.12,237.88,14.6,0,0,17
2006/12/26 20:00,4.744,0.624,237.9,20.2,0,2,17
2006/12/26 22:00,0.748,0,244.24,3.2,0,1,0
2006/12/27 0:00,0.63,0.162,245.7,2.8,0,0,0
2006/12/27 2:00,0.396,0.046,248.2,1.8,0,0,0
2006/12/27 4:00,0.658,0.434,248.27,3.2,0,1,0
2006/12/27 6:00,0.398,0,245.79,1.8,0,0,0
2006/12/27 8:00,2.526,0.084,237.1,10.6,0,0,18
2006/12/27 10:00,2.07,0,239.01,8.6,0,0,17
2006/12/27 12:00,1.258,0,238.84,5.2,0,0,18
2006/12/27 14:00,0.306,0.16,242.6,1.4,0,0,0
2006/12/27 16:00,0.24,0.06,246.27,1,0,0,0
2006/12/27 18:00,1.64,0.276,239.94,6.8,0,2,0
2006/12/27 20:00,1.294,0,240.96,5.4,0,0,0
2006/12/27 22:00,1.322,0.166,241.32,5.4,0,0,0
2006/12/28 0:00,0.232,0.054,245.5,1,0,0,0
2006/12/28 2:00,0.416,0.32,244.73,2.2,0,2,0
2006/12/28 4:00,0.236,0.064,247.6,1,0,0,0
2006/12/28 6:00,0.418,0.282,246.45,2,0,0,0
2006/12/28 8:00,3.272,0,238.95,13.6,0,0,18
2006/12/28 10:00,0.234,0.054,244.94,1,0,0,0
2006/12/28 12:00,0.228,0,241.42,1,0,0,0
2006/12/28 14:00,1.454,0,242.67,6,0,0,19
2006/12/28 16:00,1.588,0.278,242.79,6.6,0,1,18
2006/12/28 18:00,2.044,0,237.84,8.6,0,0,18
2006/12/28 20:00,3.166,0.252,234.73,13.6,0,0,0
2006/12/28 22:00,3.968,0,239.39,16.6,38,0,0
2006/12/29 0:00,0.496,0.186,245.71,3,0,0,0
2006/12/29 2:00,0.348,0.178,247.39,1.8,0,1,0
2006/12/29 4:00,2.372,0,244.48,9.6,0,0,0
2006/12/29 6:00,2.374,0,244.39,9.6,0,0,0
2006/12/29 8:00,3.93,0.078,237.72,16.4,0,0,18
2006/12/29 10:00,3.558,0.34,239.28,14.8,0,2,17
2006/12/29 12:00,1.394,0.11,241.24,5.8,0,0,18
2006/12/29 14:00,1.424,0.24,239.28,6,0,0,18
2006/12/29 16:00,0.374,0.268,242.35,1.8,0,0,0
2006/12/29 18:00,1.448,0.338,233.8,6.2,0,1,0
2006/12/29 20:00,2.828,0.268,232.74,12.2,0,0,17
2006/12/29 22:00,2.278,0.086,236.41,9.6,0,3,17
2006/12/30 0:00,0.236,0,243.42,1,0,1,0
2006/12/30 2:00,0.23,0,241.05,1,0,1,0
2006/12/30 4:00,0.324,0.186,247.37,1.6,0,2,0
2006/12/30 6:00,0.242,0,244.51,1,0,0,0
2006/12/30 8:00,0.386,0.172,245.43,1.8,0,0,0
2006/12/30 10:00,7.016,0.302,236,29.6,0,73,17
2006/12/30 12:00,1.664,0,238.34,7,0,0,18
2006/12/30 14:00,1.292,0,240.59,5.4,0,0,18
2006/12/30 16:00,2.392,0.382,241.84,10,0,0,18
2006/12/30 18:00,2.602,0.234,234.12,11.2,0,0,17
2006/12/30 20:00,2.182,0,235.17,9.2,0,0,17
2006/12/30 22:00,0.556,0.124,239.25,2.4,0,2,0
2006/12/31 0:00,0.21,0,243.1,0.8,0,0,0
2006/12/31 2:00,0.306,0.152,242.45,1.4,0,0,0
2006/12/31 4:00,0.216,0,244.75,1,0,0,0
2006/12/31 6:00,0.25,0,244.54,1,0,0,0
