date,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,OT
2010/1/1 0:00,0.236,240.65,7.4,0,0,18,1.79
2010/1/1 1:00,0.118,242.08,2.6,0,0,0,0.628
2010/1/1 2:00,0.148,241.64,2.8,0,0,1,0.68
2010/1/1 3:00,0.112,243.79,2.6,0,0,1,0.63
2010/1/1 4:00,0,243.82,2.4,0,0,1,0.568
2010/1/1 5:00,0.262,240.16,3.2,0,1,0,0.732
2010/1/1 6:00,0,240.89,2.4,0,0,1,0.566
2010/1/1 7:00,0,243.27,2.2,0,0,1,0.564
2010/1/1 8:00,0.26,240.13,3.2,0,2,0,0.746
2010/1/1 9:00,0.13,241.4,2.6,0,0,0,0.644
2010/1/1 10:00,0.116,241.88,2.6,0,0,1,0.632
2010/1/1 11:00,0.236,240.55,7.4,0,0,19,1.806
2010/1/1 12:00,0.188,241.75,2.8,0,0,1,0.674
2010/1/1 13:00,0,242.24,2.4,0,0,1,0.566
2010/1/1 14:00,0.098,243.53,3,1,0,1,0.722
2010/1/1 15:00,0.292,243.98,3.8,1,1,0,0.902
2010/1/1 16:00,0,242.74,2.6,0,0,0,0.654
2010/1/1 17:00,0.092,240.17,20.6,0,0,18,4.968
2010/1/1 18:00,0.384,241.65,3.6,0,2,1,0.802
2010/1/1 19:00,0,244.37,1.4,0,0,1,0.37
2010/1/1 20:00,0,245.12,1.4,0,0,0,0.374
2010/1/1 21:00,0.18,246.07,2,0,0,1,0.464
2010/1/1 22:00,0,240.28,1.4,0,0,1,0.356
2010/1/1 23:00,0.138,243.83,1.8,0,0,0,0.436
2010/1/2 0:00,0.322,246.7,2.2,0,0,0,0.486
2010/1/2 1:00,0.162,247.77,1.4,0,1,1,0.332
2010/1/2 2:00,0,246.96,1,0,0,1,0.256
2010/1/2 3:00,0.176,247.3,1.6,0,0,0,0.352
2010/1/2 4:00,0.168,248.57,1.4,0,2,0,0.344
2010/1/2 5:00,0,247.04,1,0,0,1,0.256
2010/1/2 6:00,0.164,244.69,1.6,0,0,1,0.354
2010/1/2 7:00,0,245.18,1,0,0,1,0.256
2010/1/2 8:00,0.136,246.45,1.4,0,0,1,0.336
2010/1/2 9:00,0.31,245.21,2.8,0,0,0,0.626
2010/1/2 10:00,0.132,239.95,5.8,0,0,19,1.398
2010/1/2 11:00,0.124,243.52,1.4,0,1,1,0.32
2010/1/2 12:00,0.142,244.93,1.6,0,0,1,0.39
2010/1/2 13:00,0,246.56,1,0,0,1,0.26
2010/1/2 14:00,0.136,245.28,1.4,0,1,1,0.346
2010/1/2 15:00,0.27,248.01,2,0,0,0,0.432
2010/1/2 16:00,0,247.01,1.2,0,0,0,0.322
2010/1/2 17:00,0.462,241.07,6,0,0,1,1.396
2010/1/2 18:00,0.578,237.12,26,38,0,18,6.098
2010/1/2 19:00,0.222,239.31,10.6,0,0,18,2.526
2010/1/2 20:00,0.192,239.17,9,0,0,18,2.168
2010/1/2 21:00,0.252,239.69,6.4,0,2,0,1.538
2010/1/2 22:00,0,241.13,5.4,0,0,1,1.316
2010/1/2 23:00,0.31,245.23,5.2,0,0,9,1.234
2010/1/3 0:00,0.266,246.21,2.4,0,0,0,0.546
2010/1/3 1:00,0,244.1,1.2,0,0,1,0.278
2010/1/3 2:00,0.226,243.97,6.4,0,0,18,1.55
2010/1/3 3:00,0,247.37,1.2,0,0,0,0.286
2010/1/3 4:00,0,249.07,1.2,0,0,1,0.29
2010/1/3 5:00,0.258,247.59,2,0,0,1,0.466
2010/1/3 6:00,0,245.87,1.2,0,0,1,0.282
2010/1/3 7:00,0.114,243.75,1.6,0,1,1,0.366
2010/1/3 8:00,0.13,244.65,1.6,0,0,0,0.384
2010/1/3 9:00,0,243.55,7,0,0,19,1.738
2010/1/3 10:00,0.086,238.63,7.6,0,0,18,1.822
2010/1/3 11:00,0.132,242.27,6.6,1,0,18,1.588
2010/1/3 12:00,0.208,240.36,16.6,39,0,18,4.004
2010/1/3 13:00,0.13,244.48,7.2,1,0,19,1.77
2010/1/3 14:00,0.24,236.34,21.8,0,74,1,5.174
2010/1/3 15:00,0.104,244.89,5.4,0,0,1,1.306
2010/1/3 16:00,0.116,245.41,8.2,0,3,19,2.038
2010/1/3 17:00,0.248,240.36,9.8,0,0,19,2.326
2010/1/3 18:00,0.112,238.42,5,0,0,0,1.142
