date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,OT
2006-12-16 00:00:00,4.216,0.418,234.84,18.4,0,1,17
2006-12-18 12:00:00,1.734,0.084,242.96,7.0,0,0,19
2006-12-21 00:00:00,1.814,0.148,243.51,7.6,0,0,18
2006-12-23 12:00:00,2.718,0.0,239.07,11.4,0,0,0
2006-12-26 00:00:00,2.49,0.102,245.44,10.0,0,1,0
2006-12-28 12:00:00,0.228,0.0,241.42,1.0,0,0,0
2006-12-31 00:00:00,0.21,0.0,243.1,0.8,0,0,0
2007-01-02 12:00:00,0.374,0.0,243.42,1.6,0,0,0
2007-01-05 00:00:00,1.172,0.182,243.62,4.8,0,0,0
2007-01-07 12:00:00,0.644,0.422,237.17,3.2,0,2,0
2007-01-10 00:00:00,0.404,0.302,244.48,2.0,0,2,0
2007-01-12 12:00:00,0.396,0.276,240.7,2.0,0,1,0
2007-01-15 00:00:00,1.382,0.104,242.12,5.6,0,0,18
2007-01-17 12:00:00,1.888,0.0,239.84,8.0,0,0,18
2007-01-20 00:00:00,1.374,0.0,241.55,5.6,0,0,0
2007-01-22 12:00:00,1.462,0.26,240.71,6.0,0,1,18
2007-01-25 00:00:00,1.404,0.128,242.68,5.8,0,0,18
2007-01-27 12:00:00,1.506,0.19,238.63,6.4,0,0,18
2007-01-30 00:00:00,1.348,0.0,244.05,5.4,0,0,18
2007-02-01 12:00:00,1.36,0.09,239.57,5.6,0,0,18
2007-02-04 00:00:00,3.57,0.096,240.77,14.8,0,0,18
2007-02-06 12:00:00,0.496,0.0,243.27,2.4,0,0,0
2007-02-09 00:00:00,0.43,0.26,244.19,2.0,0,2,0
2007-02-11 12:00:00,3.766,0.216,240.06,15.6,0,1,18
2007-02-14 00:00:00,0.222,0.0,245.86,1.0,0,0,0
2007-02-16 12:00:00,0.822,0.122,238.96,4.0,0,0,9
2007-02-19 00:00:00,0.356,0.19,242.56,1.6,0,1,0
2007-02-21 12:00:00,0.452,0.126,240.56,2.0,0,0,0
2007-02-24 00:00:00,0.712,0.0,243.65,2.8,0,0,0
2007-02-26 12:00:00,1.292,0.0,241.47,5.2,0,0,18
2007-03-01 00:00:00,0.226,0.0,243.19,1.0,0,0,0
2007-03-03 12:00:00,0.206,0.0,236.35,0.8,0,0,0
2007-03-06 00:00:00,0.21,0.0,243.08,0.8,0,0,0
2007-03-08 12:00:00,0.382,0.176,240.4,1.8,0,2,0
2007-03-11 00:00:00,2.362,0.064,236.86,10.0,0,0,0
2007-03-13 12:00:00,0.404,0.232,240.54,1.8,0,2,0
2007-03-16 00:00:00,0.79,0.088,240.58,3.2,0,0,0
2007-03-18 12:00:00,1.502,0.238,239.33,6.2,0,1,17
2007-03-21 00:00:00,1.388,0.062,241.54,5.8,0,0,18
2007-03-23 12:00:00,0.318,0.118,242.41,1.4,0,0,0
2007-03-26 00:00:00,1.272,0.0,239.63,5.2,0,0,18
2007-03-28 12:00:00,1.366,0.0,239.05,5.6,0,0,18
2007-03-31 00:00:00,0.382,0.144,243.51,1.8,0,2,0
2007-04-02 12:00:00,1.346,0.082,238.71,5.6,0,0,18
2007-04-05 00:00:00,0.408,0.102,241.97,1.6,0,0,0
2007-04-07 12:00:00,1.28,0.128,239.37,5.2,0,16,0
2007-04-10 00:00:00,0.29,0.108,241.41,1.2,0,1,0
2007-04-12 12:00:00,0.298,0.104,240.32,1.2,0,1,0
2007-04-15 00:00:00,0.456,0.344,240.78,2.4,0,2,0
2007-04-17 12:00:00,0.31,0.228,240.35,1.6,0,0,0
2007-04-20 00:00:00,0.13,0.0,241.89,0.6,0,0,0
2007-04-22 12:00:00,1.986,0.44,240.66,8.4,1,0,17
2007-04-25 00:00:00,0.258,0.11,238.64,1.2,0,1,0
2007-04-27 12:00:00,1.192,0.0,234.38,5.0,0,0,17
2007-04-30 00:00:00,0.482,0.228,240.62,2.4,0,1,0
2007-05-02 12:00:00,0.264,0.198,234.79,1.4,0,1,0
2007-05-05 00:00:00,0.26,0.154,241.0,1.2,1,1,0
2007-05-07 12:00:00,1.386,0.186,233.51,6.0,0,0,17
2007-05-10 00:00:00,0.184,0.088,235.43,0.8,0,1,0
2007-05-12 12:00:00,0.322,0.218,235.92,1.6,0,0,0
2007-05-15 00:00:00,0.516,0.286,235.99,2.4,0,1,0
2007-05-17 12:00:00,0.42,0.222,236.42,2.0,0,2,0
2007-05-20 00:00:00,1.324,0.064,233.8,5.6,0,0,17
2007-05-22 12:00:00,0.206,0.052,235.81,0.8,0,0,0
2007-05-25 00:00:00,0.324,0.082,239.08,1.4,0,0,0
2007-05-27 12:00:00,0.79,0.276,232.38,4.0,0,3,0
2007-05-30 00:00:00,0.304,0.072,235.2,1.2,0,0,0
2007-06-01 12:00:00,1.224,0.046,233.75,5.2,0,0,17
2007-06-04 00:00:00,0.544,0.242,237.19,2.4,0,4,0
2007-06-06 12:00:00,0.772,0.198,234.77,3.4,0,0,0
2007-06-09 00:00:00,1.348,0.0,243.38,5.4,0,0,0
2007-06-11 12:00:00,0.372,0.358,241.19,2.0,0,1,0
2007-06-14 00:00:00,0.194,0.102,238.36,0.8,0,0,0
2007-06-16 12:00:00,1.544,0.35,239.17,6.6,0,1,18
2007-06-19 00:00:00,0.258,0.0,244.78,1.0,0,0,0
2007-06-21 12:00:00,0.212,0.12,238.81,1.0,0,0,0
