date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,OT
2006-12-16 14:00:00,4.216,0.418,234.84,18.4,0,1,17
2006-12-17 04:00:00,2.402,0.076,243.18,9.8,0,1,0
2006-12-17 18:00:00,3.328,0.168,235.86,14.0,0,0,17
2006-12-18 08:00:00,2.128,0.152,238.59,8.8,1,0,18
2006-12-18 22:00:00,1.556,0.16,237.72,6.6,0,0,0
2006-12-19 12:00:00,2.488,0.162,239.81,10.4,0,36,0
2006-12-20 02:00:00,0.286,0.054,241.64,1.4,0,0,0
2006-12-20 16:00:00,0.416,0.254,244.84,2.0,0,1,0
2006-12-21 06:00:00,0.286,0.096,243.24,1.2,0,2,0
2006-12-21 20:00:00,5.406,0.512,233.13,23.4,37,0,0
2006-12-22 10:00:00,1.256,0.0,240.05,5.2,0,0,17
2006-12-23 00:00:00,2.328,0.0,241.25,9.6,0,0,0
2006-12-23 14:00:00,1.986,0.0,239.31,8.6,0,0,18
2006-12-24 04:00:00,0.75,0.128,245.12,4.6,0,0,0
2006-12-24 18:00:00,0.64,0.082,239.25,2.6,0,0,0
2006-12-25 08:00:00,2.858,0.084,240.99,11.8,0,1,18
2006-12-25 22:00:00,3.6,0.196,236.46,15.6,2,17,17
2006-12-26 12:00:00,2.334,0.068,237.13,9.8,0,0,17
2006-12-27 02:00:00,0.396,0.046,248.2,1.8,0,0,0
2006-12-27 16:00:00,0.24,0.06,246.27,1.0,0,0,0
2006-12-28 06:00:00,0.418,0.282,246.45,2.0,0,0,0
2006-12-28 20:00:00,3.166,0.252,234.73,13.6,0,0,0
2006-12-29 10:00:00,3.558,0.34,239.28,14.8,0,2,17
2006-12-30 00:00:00,0.236,0.0,243.42,1.0,0,1,0
2006-12-30 14:00:00,1.292,0.0,240.59,5.4,0,0,18
2006-12-31 04:00:00,0.216,0.0,244.75,1.0,0,0,0
2006-12-31 18:00:00,2.452,0.062,236.3,10.4,0,0,0
2007-01-01 08:00:00,2.532,0.244,240.44,10.4,0,1,0
2007-01-01 22:00:00,0.362,0.0,239.11,1.4,0,0,0
2007-01-02 12:00:00,0.374,0.0,243.42,1.6,0,0,0
2007-01-03 02:00:00,0.322,0.158,244.95,1.4,0,0,0
2007-01-03 16:00:00,0.46,0.346,245.68,2.4,0,1,0
2007-01-04 06:00:00,2.366,0.138,238.71,9.8,0,0,0
2007-01-04 20:00:00,2.01,0.29,236.33,8.6,0,0,0
2007-01-05 10:00:00,3.352,0.12,236.15,14.2,0,0,17
2007-01-06 00:00:00,1.726,0.132,242.88,7.0,0,0,18
2007-01-06 14:00:00,1.478,0.0,237.8,6.2,0,0,17
2007-01-07 04:00:00,0.36,0.214,247.63,1.6,0,0,0
2007-01-07 18:00:00,6.448,0.048,230.79,27.8,0,67,16
2007-01-08 08:00:00,2.714,0.06,238.31,11.4,0,0,18
2007-01-08 22:00:00,1.416,0.05,238.08,6.0,0,0,0
2007-01-09 12:00:00,0.276,0.112,238.92,1.2,0,0,0
2007-01-10 02:00:00,0.332,0.164,242.62,1.6,0,1,0
2007-01-10 16:00:00,0.638,0.132,243.13,2.6,0,2,0
